,To,Ti_sp,Φo,Φi,Qa,Φa,Etot
2000-02-01 12:00:00+01:00,10.0,20,688.5,34.425,0.0,174.42,51.0
2000-02-01 13:00:00+01:00,11.0,20,675.0,33.75,0.0,171.0,50.0
2000-02-01 14:00:00+01:00,13.0,20,3435.2357027296757,171.76178513648378,0.0,870.2597113581845,254.46190390590192
2000-02-01 15:00:00+01:00,11.0,20,391.5,19.575,0.0,99.17999999999999,29.0
2000-02-01 16:00:00+01:00,11.0,20,324.0,16.2,0.0,82.08,24.0
2000-02-01 17:00:00+01:00,10.0,20,40.5,2.025,0.0,10.26,3.0
2000-02-01 18:00:00+01:00,8.0,20,0.0,0.0,0.0,0.0,0.0
2000-02-01 19:00:00+01:00,8.0,20,0.0,0.0,0.0,0.0,0.0
2000-02-01 20:00:00+01:00,8.0,20,0.0,0.0,0.0,0.0,0.0
2000-02-01 21:00:00+01:00,7.8,20,0.0,0.0,0.0,0.0,0.0
2000-02-01 22:00:00+01:00,8.0,20,0.0,0.0,0.0,0.0,0.0
2000-02-01 23:00:00+01:00,8.0,16,0.0,0.0,0.0,0.0,0.0
2000-02-02 00:00:00+01:00,7.3,16,0.0,0.0,0.0,0.0,0.0
2000-02-02 01:00:00+01:00,7.0,16,0.0,0.0,0.0,0.0,0.0
2000-02-02 02:00:00+01:00,7.0,16,0.0,0.0,0.0,0.0,0.0
2000-02-02 03:00:00+01:00,7.2,16,0.0,0.0,0.0,0.0,0.0
2000-02-02 04:00:00+01:00,7.0,16,0.0,0.0,0.0,0.0,0.0
2000-02-02 05:00:00+01:00,7.0,16,0.0,0.0,0.0,0.0,0.0
2000-02-02 06:00:00+01:00,6.7,20,0.0,0.0,0.0,0.0,0.0
2000-02-02 07:00:00+01:00,6.0,20,0.0,0.0,0.0,0.0,0.0
2000-02-02 08:00:00+01:00,7.0,20,74.25,3.7124999999999995,0.0,18.81,5.5
2000-02-02 09:00:00+01:00,7.0,20,438.75,21.937499999999996,0.0,111.14999999999999,32.5
2000-02-02 10:00:00+01:00,11.0,20,890.2947826244977,44.51473913122488,0.0,225.54134493153938,65.94776167588871
2000-02-02 11:00:00+01:00,12.0,20,1272.1652684495416,63.608263422477066,0.0,322.28186800721716,94.23446432959567
2000-02-02 12:00:00+01:00,11.8,20,1539.6548914031098,76.98274457015549,0.0,390.04590582212114,114.04851047430444
2000-02-02 13:00:00+01:00,12.0,20,1577.1805242259331,78.85902621129665,0.0,399.55239947056975,116.82818697969876
2000-02-02 14:00:00+01:00,12.0,20,1815.4522693421393,90.77261346710696,0.0,459.91457490000863,134.4779458771955
2000-02-02 15:00:00+01:00,12.1,20,1384.1107919801937,69.20553959900968,0.0,350.6414006349824,102.5267253318662
2000-02-02 16:00:00+01:00,12.0,20,642.7068847070776,32.13534423535388,0.0,162.81907745912633,47.607917385709456
2000-02-02 17:00:00+01:00,10.0,20,60.75,3.0374999999999996,0.0,15.39,4.5
2000-02-02 18:00:00+01:00,9.2,20,0.0,0.0,0.0,0.0,0.0
2000-02-02 19:00:00+01:00,9.0,20,0.0,0.0,0.0,0.0,0.0
2000-02-02 20:00:00+01:00,8.0,20,0.0,0.0,0.0,0.0,0.0
2000-02-02 21:00:00+01:00,8.0,20,0.0,0.0,0.0,0.0,0.0
